filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
劉嘉婕1-2,11.46,0.21680404245853424,0.10358051210641861,0.09014040231704712,0.002516446402296424,1888.5150176409998,1049730.9119503999,2113.0379660781286,275805.620322185,3607.879465697748,4517890.916269258,0.08091433135121458,0.007029426813215492,-6.05360526151344e-07,0.008358108811080456,-1.7277634469792247e-06,0.0010397793957963586,135.99917763157896,-316.849365234375,7151.2861328125,83.88304901123047,2166.663818359375,23.205446243286133,1152.4144287109375,9.020627975463867,966.9934692382812,-17.750925064086914,349.0788879394531,9.33401107788086,678.3390502929688,13.97807502746582,234.6750946044922,-8.771556854248047,158.55572509765625,-12.794588088989258,220.8369140625,20.3637752532959,269.5356750488281,-27.70256805419922,207.48013305664062,7.971180438995361,142.62142944335938,-13.852418899536133,211.8180694580078,-1.5443992614746094,240.03712463378906,3.7264554500579834,242.3686981201172,-1.1387202739715576,307.831298828125,10.829058647155762,325.6861572265625,25.50112533569336,575.85009765625,16.414884567260742,726.3599243164062,9.38379955291748,554.141357421875,2
劉嘉婕2-2,10.47,0.21658365428447723,0.10335036367177963,0.07880506664514542,0.0017880377126857638,1642.8029654010577,704130.3012397197,1856.82939632491,248087.16271552534,2800.4384245946508,3254905.1715214867,0.07849960157982262,0.004823215549284881,1.5387153950996435e-07,0.005977412685751915,-2.855980710592121e-06,0.0007185805588960648,103.359375,-298.6612243652344,3745.497802734375,111.5282974243164,1478.23876953125,1.0594335794448853,575.5850830078125,-3.1296451091766357,686.1585083007812,-13.287627220153809,293.9599609375,20.72597312927246,285.98114013671875,2.6488986015319824,150.7729034423828,-16.22043228149414,150.70489501953125,-1.0505903959274292,130.71572875976562,6.231245040893555,144.11294555664062,-19.925880432128906,128.2883758544922,7.940829277038574,95.90965270996094,-13.798951148986816,130.89402770996094,0.5639421343803406,133.951416015625,-7.3174614906311035,191.33705139160156,-0.4724254012107849,196.509765625,5.9585371017456055,167.6005096435547,13.028998374938965,432.38525390625,7.6744537353515625,438.95111083984375,11.435431480407715,316.267333984375,2
劉嘉婕3-2,10.72,0.22104361653327942,0.09930825978517532,0.10837674140930176,0.004539930261671543,1979.4417763448369,967881.4945537327,1831.1193966119997,214078.08740324437,3497.164639559659,2646054.881935524,0.09979010247564934,0.007799321804104537,1.3389116020334768e-06,0.010396508499979973,-8.691903303770232e-07,0.0033395837526768446,107.666015625,-282.0417785644531,5759.9677734375,75.3988037109375,1701.565185546875,-9.999273300170898,1196.392333984375,14.519084930419922,1171.5948486328125,-28.24149513244629,548.9263305664062,7.018248081207275,333.3844299316406,20.542938232421875,288.15118408203125,-21.299497604370117,149.7890625,-12.331198692321777,133.82583618164062,16.8054141998291,169.12005615234375,-22.229246139526367,168.020263671875,6.1567864418029785,112.34876251220703,-15.096378326416016,153.77613830566406,-5.532328128814697,260.7301025390625,-3.658877372741699,226.66033935546875,-1.5112873315811157,306.28424072265625,4.1567864418029785,282.52630615234375,9.745662689208984,527.4616088867188,11.816758155822754,712.7078857421875,11.081719398498535,584.360595703125,2
古翊汎(生)1-2,11.64,0.20848506689071655,0.09789416939020157,0.23157072067260742,0.012763668783009052,1351.0093436418665,118271.18457804779,1334.1379226618492,76900.9191352814,2331.8271348200947,663760.945445203,0.07234343874501992,0.000999872072282548,-0.00029235993861220777,0.046015046536922455,-8.988412446342409e-05,0.008962095715105534,103.359375,-184.94456481933594,2070.75244140625,120.97596740722656,672.0459594726562,-52.31659698486328,546.9646606445312,1.562408447265625,349.393798828125,-36.19232177734375,464.7612609863281,-22.49823570251465,199.337646484375,-9.619987487792969,233.43255615234375,-13.425739288330078,111.6713638305664,-25.441701889038086,148.53482055664062,-5.765050888061523,121.546142578125,-10.517959594726562,146.39503479003906,-5.108346939086914,116.0049057006836,-9.770730018615723,126.1166763305664,-7.793093204498291,139.07681274414062,-4.855244159698486,189.02259826660156,-3.4589455127716064,269.1229553222656,6.687999725341797,236.06561279296875,6.86234712600708,287.383544921875,4.411248207092285,337.8084411621094,2.225109100341797,246.69390869140625,2
孫凱琳(生)1-2,11.39,0.24048765003681183,0.11127354204654694,0.12574322521686554,0.005861915647983551,1751.3842573337988,1090052.0031016972,1961.9029658746267,181969.8558017434,2976.7789448351577,3340460.05512829,0.08059027335794297,0.008886023998689704,8.953764307761958e-08,0.01643848791718483,-3.447501512710005e-06,0.0024769832380115986,99.38401442307692,-281.8255615234375,6170.74755859375,88.21630096435547,1287.5478515625,9.362585067749023,869.2898559570312,3.1988577842712402,1020.9480590820312,-24.841888427734375,1030.6192626953125,-12.482972145080566,486.2619934082031,7.250467300415039,380.3847961425781,-5.825893878936768,212.5068359375,-21.198101043701172,211.10809326171875,15.49489974975586,236.63670349121094,-17.972579956054688,153.35389709472656,0.6103323101997375,121.19628143310547,-3.3075833320617676,183.07623291015625,-7.495209217071533,210.349853515625,-4.325668811798096,148.7615203857422,-0.2639823853969574,328.6477966308594,-0.5098158717155457,325.8244934082031,17.72581672668457,547.9915161132812,9.906821250915527,444.4949645996094,9.53527545928955,265.12420654296875,2
小咪(生)1-2,12.14,0.2384880781173706,0.10037869215011597,0.16311059892177582,0.011912049725651741,1148.8594647475343,108395.02243612737,1080.6468446746994,159244.31604230372,1697.4451429061307,683989.0785181853,0.07440232138597329,0.0004536454627636283,4.332051503297407e-06,0.028486378490924835,1.6378067812183872e-05,0.004148917738348246,112.34714673913044,-256.287353515625,2230.917236328125,136.72084045410156,1375.37890625,-25.36097526550293,793.7498168945312,-32.20890426635742,687.8766479492188,-32.45401382446289,457.63787841796875,-8.376538276672363,218.83209228515625,3.713416576385498,423.0267639160156,-4.83792781829834,106.63408660888672,-11.470869064331055,165.30630493164062,6.674094200134277,157.456787109375,-1.0770577192306519,72.78693389892578,-8.776500701904297,94.04936218261719,-12.652779579162598,81.81230926513672,-15.71976375579834,180.6383514404297,-4.094394207000732,156.92771911621094,-1.238451600074768,242.22946166992188,7.653669834136963,283.2742614746094,8.421046257019043,572.5989379882812,5.169734477996826,607.6821899414062,0.42790040373802185,260.2851257324219,2
廖玉琪1-2,11.27,0.20834505558013916,0.09471823275089264,0.2216036170721054,0.009147679433226585,1363.8739690340483,88855.20874451411,1265.5906803611754,81262.96281824059,2088.3884006076387,578720.4511390056,0.07960591885288065,0.000589670699933443,-0.00021633946744259447,0.03883173689246178,-5.694440915249288e-05,0.008196539245545864,107.666015625,-182.703125,1538.739501953125,125.41592407226562,713.5477294921875,-62.23497009277344,523.3224487304688,-14.903169631958008,344.1968994140625,-37.7965202331543,274.443603515625,-16.16318702697754,183.421875,-6.327702522277832,193.81256103515625,-9.569421768188477,78.83889770507812,-28.115991592407227,129.0190887451172,-3.804854393005371,108.17537689208984,-13.964773178100586,126.41583251953125,-3.464661121368408,122.20293426513672,-4.360809803009033,102.95604705810547,-7.843495845794678,104.56954193115234,-3.8479299545288086,135.8376922607422,-3.7768630981445312,205.32928466796875,4.920187473297119,219.4270477294922,7.4401726722717285,290.28680419921875,8.511468887329102,371.77203369140625,4.339153289794922,283.42431640625,2
張繻月1-2,10.98,0.2554401457309723,0.1090799868106842,0.06476770341396332,0.0016943218652158976,2082.3049822597827,818103.576706472,2089.642138708555,263459.3977086496,3856.605784635967,3186443.099577046,0.10960933370771671,0.00669082176821258,-3.4069336152242613e-07,0.003901883028447628,-1.1450169949966948e-06,0.0010486443061381578,103.359375,-315.1686096191406,7975.8134765625,71.01461791992188,1906.7735595703125,-19.492219924926758,827.1961669921875,6.224462985992432,1267.5301513671875,-16.023836135864258,852.8878173828125,-11.56888198852539,475.0834045410156,4.163975238800049,340.8400573730469,-3.8792035579681396,191.28103637695312,-6.932750225067139,175.4921875,4.695978164672852,170.9427490234375,-9.185412406921387,214.89227294921875,5.490986347198486,99.69739532470703,-10.224719047546387,127.31111145019531,-2.3866372108459473,201.93710327148438,-2.886728286743164,210.46253967285156,4.355498790740967,429.68182373046875,7.132272720336914,290.1466369628906,18.882543563842773,479.0622253417969,8.654668807983398,451.3658752441406,11.394351959228516,302.812255859375,2
張繻月2-2,10.69,0.24795512855052948,0.10834965109825134,0.06430298089981079,0.0023287420626729727,2220.771750870688,716621.2707278539,2242.4229782155944,212930.67952397917,4374.066175349105,3224738.26498674,0.10267040062364426,0.004760536685383411,4.2864499505412823e-07,0.0037904935888946056,3.2602706596662756e-06,0.00149393524043262,129.19921875,-311.68438720703125,7522.8818359375,65.0444564819336,1472.62109375,-7.5139312744140625,835.7322998046875,-0.037335511296987534,1058.3935546875,-27.259096145629883,1040.187255859375,-3.2195136547088623,427.33551025390625,10.877169609069824,326.43682861328125,-0.489260733127594,180.5432891845703,-15.325288772583008,229.89456176757812,12.698202133178711,169.20814514160156,-14.80239200592041,267.4419860839844,8.888649940490723,124.95391845703125,-11.189279556274414,152.6444549560547,-1.4905548095703125,202.96737670898438,-0.9884256720542908,176.54808044433594,8.311713218688965,457.7598876953125,4.116220951080322,339.68475341796875,15.525227546691895,454.7728576660156,11.014219284057617,503.4764404296875,4.618322849273682,402.763427734375,2
張繻月3-2,10.77,0.24426357448101044,0.11025094240903854,0.07318845391273499,0.0027231795247644186,2296.3470113426806,1024666.0531089341,2364.6494890088456,236659.25315679578,4743.407308644262,4536333.929352176,0.09559578731142242,0.0069718533433646,-1.0153277685276407e-07,0.005278822500258684,1.4010067843628349e-06,0.0015048792120069265,107.666015625,-296.0133972167969,7728.8623046875,65.64942169189453,1702.903564453125,6.854413032531738,653.292724609375,-0.1396515965461731,1062.10693359375,-25.64163589477539,1067.0975341796875,2.6527516841888428,407.61187744140625,3.696928024291992,334.89117431640625,-0.9627243280410767,151.27932739257812,-17.521635055541992,249.63571166992188,15.893145561218262,277.1656494140625,-11.083866119384766,256.0167236328125,4.279873371124268,101.1393814086914,-5.638137340545654,136.2006072998047,-0.01575377956032753,176.58892822265625,-4.7012224197387695,133.5609893798828,5.359434604644775,330.7232666015625,1.376062273979187,228.49676513671875,17.723037719726562,391.2761535644531,8.45146369934082,402.0211181640625,3.6181282997131348,338.7264709472656,2
